                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.6896,                 1.6946,                 2.0772,                0.60509,                 0.5428,                0.58163,                0.30257,                 1.6398,                 1.6865,                 2.1839,               0.009307,               0.009307,               0.009307
                     23,                 1.6706,                 1.6378,                 2.0615,                0.60121,                0.56615,                0.60666,                0.31812,                 1.7018,                 1.6861,                 2.1877,               0.009274,               0.009274,               0.009274
                     24,                 1.6568,                 1.6158,                 2.0489,                0.70872,                 0.5642,                0.65883,                0.35207,                 1.6009,                 1.5799,                  2.093,               0.009241,               0.009241,               0.009241
                     25,                 1.6722,                 1.6112,                 2.0593,                0.63041,                0.57198,                0.61201,                0.33205,                 1.6324,                 1.7488,                  2.121,               0.009208,               0.009208,               0.009208
                     26,                 1.6561,                 1.5877,                 2.0426,                0.65813,                 0.6323,                0.67991,                0.37341,                 1.6301,                 1.4818,                  2.151,               0.009175,               0.009175,               0.009175
                     27,                 1.6495,                 1.5922,                 2.0451,                0.67953,                0.70955,                0.73384,                0.39218,                 1.6465,                 1.3926,                 2.1781,               0.009142,               0.009142,               0.009142
                     28,                 1.6514,                 1.5725,                  2.042,                0.70522,                0.56615,                0.64216,                0.33473,                 1.7055,                 1.5085,                 2.2216,               0.009109,               0.009109,               0.009109
                     29,                 1.6438,                  1.544,                 2.0291,                0.59357,                0.56615,                0.58958,                 0.3097,                 1.6397,                 1.8008,                 2.1712,               0.009076,               0.009076,               0.009076
                     30,                 1.6281,                 1.5533,                 2.0234,                0.71096,                0.66997,                0.74432,                0.40997,                 1.5685,                 1.3392,                  2.085,               0.009043,               0.009043,               0.009043
                     31,                 1.6326,                 1.5609,                  2.016,                0.69709,                0.63619,                0.69905,                0.37514,                 1.6165,                 1.4269,                  2.118,                0.00901,                0.00901,                0.00901
                     32,                 1.6163,                   1.51,                 2.0121,                0.73957,                0.61326,                0.70756,                0.39251,                 1.5889,                 1.4666,                 2.0859,               0.008977,               0.008977,               0.008977
                     33,                 1.6173,                 1.5082,                 2.0136,                0.67834,                0.61544,                0.69359,                0.37716,                 1.5883,                 1.4679,                 2.1135,               0.008944,               0.008944,               0.008944
                     34,                 1.6167,                 1.4742,                 2.0039,                0.70827,                0.69455,                0.73987,                0.40981,                 1.5625,                 1.3335,                 2.0849,               0.008911,               0.008911,               0.008911
                     35,                 1.6212,                 1.4806,                 2.0078,                0.74717,                0.65544,                0.74596,                0.41657,                 1.5691,                 1.3414,                 2.0787,               0.008878,               0.008878,               0.008878
                     36,                 1.5936,                 1.4626,                 1.9957,                0.70757,                0.70623,                0.75651,                0.43693,                 1.5128,                 1.2333,                 2.0452,               0.008845,               0.008845,               0.008845
                     37,                 1.6153,                 1.4539,                 1.9982,                0.76484,                 0.6897,                0.77937,                0.43851,                 1.5364,                 1.1964,                 2.0345,               0.008812,               0.008812,               0.008812
                     38,                 1.6065,                 1.4572,                 1.9999,                0.75368,                0.69648,                0.77804,                0.44238,                  1.524,                 1.2265,                 2.0315,               0.008779,               0.008779,               0.008779
                     39,                 1.5989,                 1.4365,                 1.9966,                0.70224,                0.70623,                0.76863,                0.43112,                 1.5396,                 1.2366,                 2.0701,               0.008746,               0.008746,               0.008746
                     40,                 1.5882,                 1.4154,                 1.9807,                0.76828,                0.74708,                 0.8131,                0.46954,                 1.5189,                 1.1429,                 2.0518,               0.008713,               0.008713,               0.008713
                     41,                 1.5963,                 1.4261,                 1.9905,                0.72086,                0.72957,                0.77414,                0.43558,                 1.5181,                 1.2468,                 2.0388,                0.00868,                0.00868,                0.00868
                     42,                 1.5777,                  1.405,                 1.9819,                0.73006,                0.73152,                  0.779,                 0.4393,                 1.5266,                 1.2123,                 2.0497,               0.008647,               0.008647,               0.008647
                     43,                 1.5844,                 1.4058,                 1.9796,                0.75378,                0.72662,                0.80961,                0.46646,                 1.4917,                 1.1597,                 2.0259,               0.008614,               0.008614,               0.008614
                     44,                 1.5872,                 1.3972,                 1.9774,                0.82102,                0.75861,                0.85513,                0.49918,                 1.4871,                 1.0263,                 2.0031,               0.008581,               0.008581,               0.008581
                     45,                 1.5668,                 1.3697,                 1.9646,                0.80885,                0.78209,                0.85217,                0.49763,                 1.4898,                 1.0396,                 2.0057,               0.008548,               0.008548,               0.008548
                     46,                 1.5805,                 1.3686,                 1.9668,                 0.7882,                 0.7385,                0.81371,                0.47158,                 1.4797,                 1.1288,                 1.9816,               0.008515,               0.008515,               0.008515
                     47,                 1.5679,                 1.3683,                 1.9616,                0.81378,                0.73346,                0.82148,                0.47628,                 1.4936,                 1.0991,                 1.9962,               0.008482,               0.008482,               0.008482
                     48,                 1.5598,                 1.3628,                 1.9669,                0.78956,                0.74453,                0.82524,                0.48525,                 1.5043,                 1.0793,                 2.0243,               0.008449,               0.008449,               0.008449
                     49,                 1.5521,                 1.3524,                 1.9521,                0.80336,                0.70741,                0.81301,                0.47074,                  1.498,                 1.1181,                  2.024,               0.008416,               0.008416,               0.008416
                     50,                 1.5609,                 1.3402,                 1.9547,                0.81908,                0.77509,                 0.8551,                0.51191,                 1.4661,                 1.0342,                 1.9811,               0.008383,               0.008383,               0.008383
                     51,                 1.5525,                 1.3594,                 1.9435,                0.81846,                0.78405,                0.86143,                 0.5161,                 1.4387,                 1.0502,                 1.9459,                0.00835,                0.00835,                0.00835
                     52,                 1.5526,                  1.324,                 1.9452,                 0.7815,                0.80717,                0.86827,                0.51937,                 1.4381,                 1.0239,                 1.9436,               0.008317,               0.008317,               0.008317
                     53,                 1.5471,                 1.3126,                 1.9358,                0.84482,                 0.7732,                0.87144,                0.51886,                 1.4742,                 1.0262,                 1.9852,               0.008284,               0.008284,               0.008284
                     54,                 1.5497,                 1.3172,                 1.9379,                0.86403,                0.77043,                 0.8851,                0.51956,                 1.4737,                0.99403,                 1.9745,               0.008251,               0.008251,               0.008251
                     55,                 1.5544,                 1.3199,                 1.9355,                0.85544,                0.78016,                0.88188,                0.51647,                 1.4618,                 1.0065,                 1.9699,               0.008218,               0.008218,               0.008218
                     56,                 1.5439,                 1.2977,                 1.9328,                0.85854,                0.77821,                 0.8845,                0.52543,                 1.4357,                0.98612,                 1.9531,               0.008185,               0.008185,               0.008185
                     57,                 1.5312,                 1.2949,                 1.9217,                0.80528,                0.81712,                0.88186,                0.52846,                 1.4185,                0.98569,                 1.9295,               0.008152,               0.008152,               0.008152
                     58,                  1.533,                 1.2912,                 1.9254,                0.86568,                0.78991,                0.89009,                0.53818,                 1.4284,                0.96673,                 1.9413,               0.008119,               0.008119,               0.008119
                     59,                 1.5232,                 1.2647,                 1.9241,                0.86857,                0.83268,                0.90151,                0.54548,                 1.4188,                0.95424,                 1.9338,               0.008086,               0.008086,               0.008086
                     60,                 1.5294,                 1.2573,                 1.9265,                0.84232,                0.83143,                0.89592,                0.54678,                  1.419,                0.98009,                 1.9327,               0.008053,               0.008053,               0.008053
                     61,                 1.5231,                 1.2723,                 1.9238,                0.85348,                0.82879,                0.89516,                0.54523,                 1.4272,                0.99204,                 1.9446,                0.00802,                0.00802,                0.00802
                     62,                 1.5178,                 1.2555,                  1.912,                0.86262,                0.83852,                0.90451,                0.55435,                  1.416,                0.96131,                 1.9293,               0.007987,               0.007987,               0.007987
                     63,                 1.5317,                 1.2452,                 1.9192,                0.86496,                0.83658,                0.90408,                0.55179,                 1.4186,                0.93554,                 1.9301,               0.007954,               0.007954,               0.007954
                     64,                 1.5151,                 1.2533,                 1.9208,                0.86053,                0.83852,                0.90479,                 0.5502,                 1.4253,                0.94551,                 1.9366,               0.007921,               0.007921,               0.007921
                     65,                 1.5076,                 1.2423,                  1.897,                0.86454,                0.83463,                0.90202,                0.54666,                 1.4194,                0.95222,                 1.9277,               0.007888,               0.007888,               0.007888
                     66,                 1.5033,                 1.2245,                 1.8942,                0.85126,                0.83506,                0.90285,                0.55175,                 1.4122,                0.94742,                 1.9159,               0.007855,               0.007855,               0.007855
                     67,                 1.5103,                 1.2466,                 1.9076,                0.87161,                0.85019,                0.91609,                0.56116,                 1.4063,                0.90653,                 1.9105,               0.007822,               0.007822,               0.007822
                     68,                 1.5039,                 1.2221,                 1.9016,                0.88111,                0.85019,                0.91537,                0.56113,                 1.4068,                0.89618,                 1.9152,               0.007789,               0.007789,               0.007789
                     69,                 1.4999,                  1.222,                 1.8978,                0.88304,                0.83852,                0.91074,                0.55772,                 1.4094,                0.90223,                 1.9186,               0.007756,               0.007756,               0.007756
                     70,                 1.4999,                 1.2124,                 1.8959,                0.88284,                0.81712,                0.90866,                0.55764,                 1.4038,                0.90293,                 1.9102,               0.007723,               0.007723,               0.007723
                     71,                 1.4993,                 1.1961,                 1.8887,                0.87897,                0.83363,                0.91259,                0.55989,                 1.3979,                0.88895,                 1.9041,                0.00769,                0.00769,                0.00769
                     72,                 1.5116,                 1.1938,                 1.8975,                0.88351,                0.84111,                0.91846,                0.56445,                 1.3899,                0.86766,                 1.8975,               0.007657,               0.007657,               0.007657
                     73,                 1.4909,                 1.2041,                 1.8892,                0.86622,                0.85992,                0.92296,                0.56981,                 1.3873,                0.85676,                 1.8958,               0.007624,               0.007624,               0.007624
                     74,                 1.4906,                 1.1976,                 1.8921,                 0.8808,                0.85409,                0.92335,                0.57112,                   1.39,                0.85793,                  1.899,               0.007591,               0.007591,               0.007591
                     75,                 1.4802,                 1.1859,                 1.8779,                0.87404,                0.85409,                0.92169,                0.56826,                 1.3941,                 0.8634,                 1.9054,               0.007558,               0.007558,               0.007558
                     76,                 1.4802,                 1.1872,                   1.88,                0.88175,                0.85594,                0.92402,                0.57514,                 1.3898,                0.86093,                 1.9026,               0.007525,               0.007525,               0.007525
                     77,                 1.4871,                 1.1825,                 1.8748,                0.88678,                0.85019,                0.92515,                0.57573,                 1.3855,                0.85523,                 1.9012,               0.007492,               0.007492,               0.007492
                     78,                 1.4825,                 1.1704,                 1.8793,                0.88716,                0.85603,                0.92624,                0.57588,                  1.385,                0.85331,                 1.9007,               0.007459,               0.007459,               0.007459
                     79,                 1.4901,                 1.1821,                 1.8822,                0.90494,                 0.8463,                0.92884,                0.57867,                  1.382,                0.84725,                 1.8982,               0.007426,               0.007426,               0.007426
                     80,                 1.4749,                 1.1593,                 1.8692,                 0.8964,                0.86576,                0.93225,                0.58509,                 1.3783,                 0.8392,                 1.8927,               0.007393,               0.007393,               0.007393
                     81,                 1.4772,                 1.1599,                 1.8714,                0.91082,                0.85442,                0.93317,                0.58686,                 1.3748,                0.83645,                 1.8901,                0.00736,                0.00736,                0.00736
                     82,                 1.4691,                 1.1621,                 1.8635,                0.91232,                0.85018,                0.93522,                0.58703,                  1.371,                0.83269,                 1.8877,               0.007327,               0.007327,               0.007327
                     83,                 1.4751,                 1.1693,                 1.8818,                0.91941,                0.85409,                0.93835,                0.59162,                 1.3693,                0.82253,                 1.8863,               0.007294,               0.007294,               0.007294
                     84,                 1.4801,                 1.1518,                 1.8749,                0.92237,                0.85019,                  0.939,                0.59081,                 1.3673,                0.81847,                 1.8851,               0.007261,               0.007261,               0.007261
                     85,                  1.457,                 1.1429,                 1.8579,                0.92434,                0.85567,                0.94067,                 0.5924,                 1.3632,                0.81288,                 1.8793,               0.007228,               0.007228,               0.007228
                     86,                 1.4666,                 1.1402,                 1.8537,                0.92879,                 0.8628,                0.94149,                0.59594,                 1.3591,                0.80615,                 1.8734,               0.007195,               0.007195,               0.007195
                     87,                 1.4478,                 1.1374,                 1.8535,                0.92625,                0.86381,                0.94193,                 0.5976,                 1.3578,                0.80333,                 1.8724,               0.007162,               0.007162,               0.007162
                     88,                 1.4567,                 1.1457,                 1.8483,                0.92071,                 0.8716,                0.94221,                0.59787,                 1.3572,                0.79947,                 1.8721,               0.007129,               0.007129,               0.007129
                     89,                 1.4527,                 1.1218,                 1.8493,                0.92364,                0.87067,                 0.9422,                0.59785,                  1.357,                0.79536,                 1.8708,               0.007096,               0.007096,               0.007096
                     90,                  1.461,                 1.1239,                  1.862,                0.92413,                0.87676,                0.94281,                0.59791,                 1.3548,                0.79192,                 1.8699,               0.007063,               0.007063,               0.007063
                     91,                 1.4445,                 1.1205,                 1.8461,                0.92786,                0.86965,                0.94327,                0.59938,                 1.3532,                0.78855,                 1.8678,                0.00703,                0.00703,                0.00703
                     92,                 1.4461,                 1.1011,                  1.848,                0.92359,                0.87743,                0.94308,                 0.5981,                 1.3537,                0.78334,                  1.867,               0.006997,               0.006997,               0.006997
                     93,                 1.4459,                 1.1164,                 1.8419,                0.91021,                0.87938,                0.94369,                0.59998,                 1.3531,                0.77904,                  1.867,               0.006964,               0.006964,               0.006964
                     94,                 1.4586,                 1.1107,                  1.845,                0.90662,                0.88327,                 0.9438,                0.60186,                 1.3538,                0.77769,                 1.8664,               0.006931,               0.006931,               0.006931
                     95,                 1.4457,                 1.1107,                 1.8455,                0.91066,                0.88327,                 0.9434,                0.60193,                 1.3532,                0.77733,                 1.8651,               0.006898,               0.006898,               0.006898
                     96,                 1.4461,                 1.1227,                 1.8464,                0.91502,                 0.8798,                0.94296,                0.60189,                 1.3553,                0.77802,                 1.8672,               0.006865,               0.006865,               0.006865
                     97,                 1.4444,                 1.1106,                 1.8359,                0.91133,                0.87985,                0.94287,                0.60304,                 1.3569,                0.77687,                 1.8674,               0.006832,               0.006832,               0.006832
                     98,                 1.4423,                 1.1101,                 1.8343,                0.90791,                0.88229,                0.94439,                0.60376,                 1.3554,                0.77577,                 1.8645,               0.006799,               0.006799,               0.006799
                     99,                  1.431,                  1.091,                 1.8252,                0.91511,                0.88087,                0.94535,                0.60317,                 1.3556,                0.77493,                 1.8631,               0.006766,               0.006766,               0.006766
                    100,                 1.4214,                 1.0917,                 1.8132,                0.91303,                0.88521,                0.94516,                0.60507,                 1.3558,                0.77351,                 1.8611,               0.006733,               0.006733,               0.006733
                    101,                 1.4345,                 1.0979,                 1.8249,                 0.9155,                0.87938,                0.94544,                0.60525,                 1.3567,                0.77078,                 1.8622,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.4352,                 1.0813,                 1.8363,                0.91702,                0.88156,                0.94579,                0.60633,                 1.3574,                0.76874,                 1.8626,               0.006667,               0.006667,               0.006667
                    103,                 1.4366,                 1.0899,                 1.8207,                0.91761,                0.88132,                 0.9459,                0.60552,                 1.3581,                0.76665,                 1.8629,               0.006634,               0.006634,               0.006634
                    104,                 1.4134,                  1.072,                 1.8018,                0.91893,                 0.8821,                0.94615,                0.60541,                 1.3577,                0.76641,                  1.861,               0.006601,               0.006601,               0.006601
                    105,                 1.4196,                 1.0845,                 1.8116,                0.91884,                0.88099,                0.94632,                0.60709,                 1.3578,                0.76561,                 1.8612,               0.006568,               0.006568,               0.006568
